"FileName","Version","RBACInclude","FullPath"
"ediscovery-case-close.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-close.md"
"ediscovery-case-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-delete.md"
"ediscovery-case-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-get.md"
"ediscovery-case-list-custodians.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list-custodians.md"
"ediscovery-case-list-legalholds.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list-legalholds.md"
"ediscovery-case-list-operations.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list-operations.md"
"ediscovery-case-list-reviewsets.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list-reviewsets.md"
"ediscovery-case-list-sourcecollections.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list-sourcecollections.md"
"ediscovery-case-list-tags.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list-tags.md"
"ediscovery-case-list.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-list.md"
"ediscovery-case-post-custodians.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-post-custodians.md"
"ediscovery-case-post-legalholds.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-post-legalholds.md"
"ediscovery-case-post-reviewsets.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-post-reviewsets.md"
"ediscovery-case-post-sourcecollections.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-post-sourcecollections.md"
"ediscovery-case-post-tags.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-post-tags.md"
"ediscovery-case-post.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-post.md"
"ediscovery-case-reopen.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-reopen.md"
"ediscovery-case-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-case-update.md"
"ediscovery-caseexportoperation-getdownloadurl.md","Beta","export","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-caseexportoperation-getdownloadurl.md"
"ediscovery-casesettings-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-casesettings-get.md"
"ediscovery-casesettings-resettodefault.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-casesettings-resettodefault.md"
"ediscovery-casesettings-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-casesettings-update.md"
"ediscovery-custodian-activate.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-activate.md"
"ediscovery-custodian-get.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-get.md"
"ediscovery-custodian-list-sitesources.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-list-sitesources.md"
"ediscovery-custodian-list-unifiedgroupsources.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-list-unifiedgroupsources.md"
"ediscovery-custodian-list-usersources.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-list-usersources.md"
"ediscovery-custodian-post-sitesources.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-post-sitesources.md"
"ediscovery-custodian-post-unifiedgroupsources.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-post-unifiedgroupsources.md"
"ediscovery-custodian-post-usersources.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-post-usersources.md"
"ediscovery-custodian-release.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-release.md"
"ediscovery-custodian-update.md","Beta","custodian","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-custodian-update.md"
"ediscovery-legalhold-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-delete.md"
"ediscovery-legalhold-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-get.md"
"ediscovery-legalhold-list-sitesources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-list-sitesources.md"
"ediscovery-legalhold-list-usersources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-list-usersources.md"
"ediscovery-legalhold-post-sitesources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-post-sitesources.md"
"ediscovery-legalhold-post-usersources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-post-usersources.md"
"ediscovery-legalhold-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-legalhold-update.md"
"ediscovery-noncustodialdatasource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-noncustodialdatasource-get.md"
"ediscovery-noncustodialdatasource-list-datasource.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-noncustodialdatasource-list-datasource.md"
"ediscovery-noncustodialdatasource-list.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-noncustodialdatasource-list.md"
"ediscovery-noncustodialdatasource-post.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-noncustodialdatasource-post.md"
"ediscovery-noncustodialdatasource-release.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-noncustodialdatasource-release.md"
"ediscovery-reviewset-addtoreviewset.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewset-addtoreviewset.md"
"ediscovery-reviewset-export.md","Beta","export","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewset-export.md"
"ediscovery-reviewset-get.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewset-get.md"
"ediscovery-reviewsetquery-applytags.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-applytags.md"
"ediscovery-reviewsetquery-delete.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-delete.md"
"ediscovery-reviewsetquery-get.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-get.md"
"ediscovery-reviewsetquery-list.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-list.md"
"ediscovery-reviewsetquery-post.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-post.md"
"ediscovery-reviewsetquery-update.md","Beta","reviewset","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-reviewsetquery-update.md"
"ediscovery-sitesource-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sitesource-delete.md"
"ediscovery-sitesource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sitesource-get.md"
"ediscovery-sourcecollection-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-delete.md"
"ediscovery-sourcecollection-estimatestatistics.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-estimatestatistics.md"
"ediscovery-sourcecollection-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-get.md"
"ediscovery-sourcecollection-list-additionalsources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-additionalsources.md"
"ediscovery-sourcecollection-list-addtoreviewsetoperation.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-addtoreviewsetoperation.md"
"ediscovery-sourcecollection-list-custodiansources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-custodiansources.md"
"ediscovery-sourcecollection-list-lastestimatestatisticsoperation.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-lastestimatestatisticsoperation.md"
"ediscovery-sourcecollection-list-noncustodialsources.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-list-noncustodialsources.md"
"ediscovery-sourcecollection-post-additionalsources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-post-additionalsources.md"
"ediscovery-sourcecollection-post-custodiansources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-post-custodiansources.md"
"ediscovery-sourcecollection-post-noncustodialsources.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-post-noncustodialsources.md"
"ediscovery-sourcecollection-purgedata.md","Beta","purge","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-purgedata.md"
"ediscovery-sourcecollection-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-sourcecollection-update.md"
"ediscovery-tag-ashierarchy.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-ashierarchy.md"
"ediscovery-tag-childtags.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-childtags.md"
"ediscovery-tag-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-delete.md"
"ediscovery-tag-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-get.md"
"ediscovery-tag-update.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-tag-update.md"
"ediscovery-unifiedgroupsource-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-unifiedgroupsource-delete.md"
"ediscovery-unifiedgroupsource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-unifiedgroupsource-get.md"
"ediscovery-usersource-delete.md","Beta","write","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-usersource-delete.md"
"ediscovery-usersource-get.md","Beta","read","D:\repos\microsoft-graph-docs\api-reference\beta\api\ediscovery-usersource-get.md"
